characteristic,pearson_corr,pearson_p,spearman_corr,spearman_p,n_samples,significant
max_drawdown,0.5396648637431712,0.005364898842713497,0.5227017009224473,0.00734594096280625,25,True
roe,0.3357898427576053,0.12655816247022,0.3523445230384489,0.10778278398348243,22,False
profit_margin,0.08653138121505771,0.6946258981664154,0.18754818236272797,0.39148258802150937,23,False
price,0.03723693548326569,0.8597333708272823,0.1653483577197394,0.42960050413713025,25,False
return_skewness,0.03203569096599839,0.879173904178693,-0.060653486359810944,0.7733418600408921,25,False
return_kurtosis,0.022524862494320574,0.9148908539486589,0.09194604938621023,0.6620230422275157,25,False
dividend_yield,0.00713853635409357,0.9729842771471948,0.15435333230342896,0.46131239248626554,25,False
analyst_rating,-0.030969974756861324,0.8884410319873106,-0.06648533448837446,0.7631058958329234,23,False
short_percent,-0.06768234903682772,0.7478654917235931,-0.4297619925938803,0.03202384011833913,25,False
avg_dollar_volume,-0.10961224062833401,0.6019637421540984,-0.13212415500035252,0.5289765634443327,25,False
market_cap,-0.12072742905645317,0.5653978585081554,-0.11898900508803677,0.5710505380738669,25,False
market_cap_log,-0.12584058573807064,0.5489190373827498,-0.11898900508803677,0.5710505380738669,25,False
avg_volume,-0.1618793289306925,0.43947592341760827,-0.14719094460565588,0.48260721761942993,25,False
beta,-0.25107533878128624,0.2260427721297757,-0.1116702513683296,0.5951188836618078,25,False
distance_from_52w_high,-0.2929531909676247,0.15526500847794547,-0.26888424526387533,0.19370977014442614,25,False
volume_volatility,-0.37985864429893257,0.061073974568090286,-0.4064169914045931,0.04379760166920445,25,True
pe_ratio,-0.42217346641838666,0.039877464267609596,-0.20436876079532318,0.3381066873185864,24,True
forward_pe,-0.42583800670890476,0.04276658010214423,-0.2803299551188923,0.19511166729941876,23,True
atr_pct,-0.44292107456989754,0.02659800437466111,-0.42496073245727417,0.03421073558700525,25,True
volatility_annual,-0.4591604870777881,0.020949331883162954,-0.52540599649263,0.006994361793888389,25,True
volatility_daily,-0.4591604870777882,0.020949331883162954,-0.52540599649263,0.006994361793888389,25,True
